"year","acre_planted_corn","acre_planted_soy","acre_harvest_corn","acre_harvest_soy","yield_corn","yield_soy","corn_usd_per_bu","soy_usd_per_bu","inflation_adj_ind","corn_adjusted","soy_adjusted","pratio_cornsoy"
1986,12300000,8500000,12050000,8450000,135,41.5,1.5,4.78,2.3,3.45,10.99,0.313921747042766
1987,10400000,7950000,10150000,7900000,130,43.5,1.94,5.88,2.26,4.38,13.29,0.329571106094808
1988,11300000,8150000,10700000,8100000,84,31,2.54,7.42,2.18,5.54,16.18,0.342398022249691
1989,12600000,8300000,12250000,8280000,118,39,2.36,5.69,2.08,4.91,11.84,0.414695945945946
1990,12800000,8e+06,12400000,7900000,126,41.5,2.28,5.74,1.98,4.51,11.37,0.396657871591909
1991,12500000,8700000,12200000,8630000,117,40.5,2.37,5.58,1.87,4.43,10.43,0.424736337488015
1992,13200000,8200000,12950000,8170000,147,44,2.07,5.56,1.82,3.77,10.12,0.372529644268775
1993,1.2e+07,8600000,1.1e+07,8300000,80,31,2.5,6.4,1.77,4.43,11.33,0.390997352162401
1994,12900000,8800000,12600000,8770000,152,50.5,2.26,5.48,1.72,3.89,9.43,0.412513255567338
1995,11900000,9300000,11600000,9260000,123,44,3.24,6.72,1.67,5.41,11.22,0.482174688057041
1996,12700000,9500000,12400000,9450000,138,44,2.71,7.35,1.63,4.42,11.98,0.368948247078464
1997,12200000,10500000,11900000,10400000,138,46,2.43,6.47,1.58,3.84,10.22,0.37573385518591
1998,12500000,10400000,12200000,10350000,145,48,1.94,4.93,1.56,3.03,7.69,0.394018205461638
1999,12100000,10800000,11800000,10750000,149,44.5,1.82,4.63,1.53,2.78,7.08,0.392655367231638
2000,12300000,10700000,1.2e+07,10680000,144,43.5,1.85,4.54,1.49,2.76,6.76,0.408284023668639
2001,11700000,1.1e+07,11400000,10920000,146,44,1.97,4.38,1.44,2.84,6.31,0.450079239302694
2002,12200000,10450000,11850000,10400000,163,48,2.32,5.53,1.42,3.29,7.85,0.419108280254777
2003,12300000,10600000,11900000,10550000,157,32.5,2.42,7.34,1.39,3.36,10.2,0.329411764705882
2004,12700000,10200000,12400000,10150000,181,49,2.06,5.74,1.36,2.8,7.81,0.358514724711908
2005,12800000,10050000,12500000,1e+07,173,52.5,2,5.66,1.32,2.64,7.47,0.353413654618474
2006,12600000,10150000,12350000,10100000,166,50.5,3.04,6.43,1.27,3.86,8.17,0.472460220318237
2007,14200000,8650000,13900000,8630000,171,52,4.2,10.1,1.24,5.21,12.52,0.416134185303514
2008,13300000,9750000,12800000,9670000,171,46.5,4.06,9.97,1.19,4.83,11.86,0.407251264755481
2009,13600000,9600000,13300000,9530000,181,51,3.55,9.59,1.19,4.22,11.41,0.369851007887818
2010,13400000,9800000,13050000,9730000,165,51,5.18,11.3,1.16,6.01,13.11,0.458428680396644
2011,14100000,9350000,13700000,9230000,172,51.5,6.22,12.5,1.14,7.09,14.25,0.497543859649123
2012,14200000,9350000,13700000,9310000,137,45,6.89,14.4,1.11,7.65,15.98,0.478723404255319
2013,13600000,9300000,13050000,9250000,164,45.5,4.46,13,1.09,4.86,14.17,0.342978122794637
2014,13700000,9850000,13300000,9770000,178,51,3.65,10.2,1.08,3.94,11.02,0.357531760435572
2015,13500000,9850000,13050000,9800000,192,56.5,3.61,8.95,1.08,3.9,9.67,0.403309203722854
2016,13900000,9500000,13500000,9440000,203,60,3.36,9.47,1.06,3.56,10.04,0.354581673306773
2017,13300000,1e+07,12900000,9940000,202,57,3.36,9.33,1.04,3.49,9.7,0.35979381443299
2018,13200000,9950000,12750000,9830000,196,56,3.61,8.48,1.02,3.68,8.65,0.425433526011561
2019,13500000,9200000,13050000,9120000,198,55,3.85,8.75,1,3.85,8.75,0.44
